명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장,공용 샤워실,상세정보,환불규정
토요코인호텔 부산서면,051-638-1045,부산광역시 부산진구 서전로 39,"토요코인호텔 부산서면점은 일본에 본사를 두고 있는 비즈니스호텔 체인점이다. 지하 4층/ 지상 17층 규모의 건물로 2010년 3월 개관했다. 부산서면점은 밀리오레와 도보 1분 거리/ 롯데백화점/ 면세점과는 도보 10분 거리에 있으며/ 광안리해수욕장까지 차로 15분 걸리는 등 주변 시설과의 접근성이 좋다. 부산서면점은 고령자와 장애인을 위해 호텔이 독자적으로 디자인한 하트풀 트윈 객실을 운영한다.
토요코인호텔은 안심/ 쾌적/ 청결을 바탕으로 역과 가까운 숙소를 기본 콘셉트로 한 합리적인 가격의 숙박 특화형 호텔이다. 일상생활의 연장으로 안심하고 묵을 만한 시설과 서비스를 제공한다. 불필요한 서비스나 시설을 생략하고/ 합리적인 운영으로 가치 있는 가격을 실현하고 있다.",17층,nan,308실,싱글/ 더블/ 트윈,있음,불가,16:00,10:00,051-638-1045,"<a href=""http://www.toyoko-inn.com"" target=""_blank"" title=""새창 : 토요코 인 홈페이지로 이동"">http://www.toyoko-inn.com</a>",nan,조식식당,없음,"객실명:싱글
객실크기:3평
객실수:0
기준인원:1최대인원:1
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:더블
객실크기:4평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:트윈
객실크기:4평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
라자호텔,02-425-6700,서울특별시 송파구 오금로11길 11-21(방이동),서울 송파구 방이2동에 위치한 라자호텔 주변에는 한미사진미술관/ 어린이교통공원/ 석촌호수/ 롯데면세점/ 서울올림픽기념관/ 샤롯데시어터 등이 있다.<br>,nan,48명,34실,nan,가능,불가,15:00,익일12:00,nan,nan,nan,nan,없음,nan,nan
씨엘모텔(CL모텔),02-2692-8866,서울특별시 강서구 강서로5나길 136,씨엘모텔은 서울 강서구에 위치해 있으며/ 지하철 5호선 까치산역에서 도보로 5분 정도의 거리에 있어 교통이 편리하다. 주변에는 음식점 등의 편의 시설이 많아 이용이 편리하다.,nan,105명,35실,스탠다드/ 디럭스/ 스위트/ VIP,가능,불가,18:00,12:00,02-2692-8866,nan,nan,nan,없음,"객실명:일반실
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2021년 12월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:45000(성수기: 45000)
비수기주말최소:50000(성수기: 50000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
객실명:특실
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2021년 12월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:55000(성수기: 55000)
비수기주말최소:60000(성수기: 60000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
객실명:파티룸
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2021년 12월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:70000(성수기: 70000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
",nan
그린캠프유스호스텔,031-581-5304,경기도 가평군 북면 화악산로 729-64,"삼림욕을 즐길 수 있는 낙엽송과 잣난무숲이 병풍처럼 놓여있고/ 옆으로는 맑고 깨끗한 물이 흐르는 그린캠프유스호스텔은 서울에서 1시간 거리에 위치하여 있으므로 주말을 가족이나 친구들/ 동료와 함께 보내려는 이들에게는 안성맞춤이다. 푸르른 하늘과 아기자기한 가평의 산/ 그리고 플라워아일랜드와 또한 계곡 방갈로에서의 바비큐파티로 한층 더 즐거운 휴식을 즐길 수 있다.
콘도형과 온돌형/ 침대형 객실등 다양한 숙박환경과 전용잔디구장 등의 특별한 시설은 개인/ 가족/ 동아리 MT/ 기타 단체행사/ 세미나/ 워크숍등 모든 모임과 행사를 가지기에 충분한 환경을 제공한다.",nan,338명,11실,유스룸/ 스탠다드룸/ 스위트룸/ 커넥팅룸/ 비즈니스룸,가능,불가,14:00,12:00,031-581-5304<br>010-7582-5304,nan,nan,카페&매점/ 식당/ 자기취사실,없음,"객실명:유스룸 (※1인기준)
객실크기:6평
객실수:0
기준인원:1최대인원:3
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:세면도구:소파:취사용품:테이블:Y
드라이기:객실명:스탠다드룸
객실크기:14평
객실수:0
기준인원:2최대인원:5
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:객실명:유스룸(온돌)
객실크기:6평
객실수:0
기준인원:2최대인원:5
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:세면도구:소파:취사용품:테이블:Y
드라이기:객실명:유스룸(침대)
객실크기:6평
객실수:0
기준인원:2최대인원:5
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:세면도구:소파:취사용품:테이블:Y
드라이기:객실명:비지니스룸(※1인기준)
객실크기:14평
객실수:0
기준인원:1최대인원:5
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:객실명:스위트룸
객실크기:14평
객실수:0
기준인원:2최대인원:10
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:135000(성수기: 135000)
비수기주말최소:135000(성수기: 135000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:객실명:커넥팅룸(※1인기준)
객실크기:14평
객실수:0
기준인원:1최대인원:2
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 75000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:",nan
베네치아 모텔,031-338-2122,경기도 용인시 처인구 양지면 남평로 73-6,베네치아 모텔은 용인시에서 10분 정도 떨어진 산으로 둘러싸여서 공기가 좋고 건물 앞이나 뒤에 다른 건물이 없어 창을 열면 한눈에 전망이 들어온다.,nan,nan,22실,일반실/온돌실,가능,불가,15:00,13:00,031-338-2122,nan,nan,nan,없음,"객실명:일반실(온돌)
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:35000(성수기: 0)
비수기주말최소:35000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:객실명:일반실(침대)
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:35000(성수기: 0)
비수기주말최소:35000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:",nan
라한호텔 전주,063-232-7000,전북특별자치도 전주시 완산구 풍남동3가 26-5 라한호텔 전주,nan,nan,nan,nan,nan,nan,nan,15:00,11:00,nan,nan,nan,nan,없음,nan,nan
담담,02-2671-1092,nan,"감성 가득한 시와 그림으로 문학 감성을 충전시킬 수 있는 공주의 감성 스팟 '나태주 골목길'에 위치한 담담(痰痰).
차분하고 온화하다는 의미를 지니며 자연 그대로의 그리너리 감성을 품은 한옥 독채 숙소 입니다.",78.87㎡,6,1,양실,nan,가능,15:00,11:00,nan,https://letstay.kr/hotels/424,nan,nan,없음,"객실명:담담
객실크기:23평
객실수:0
기준인원:2최대인원:6
null
비수기주중최소:190000(성수기: 190000)
비수기주말최소:24000(성수기: 240000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
낙산 패밀리파크,033-671-6336,강원특별자치도 양양군 강현면 일출로 8,"낙산 패밀리파크는 지상 3층 규모로 카페 같은 아늑한 분위기의 모텔이다. 현관 입구에는 늘 향긋한 원두커피향이 손님들을 맞이한다. 객실은 깔끔한 인테리어가 돋보이는 콘도식 원룸과 투룸으로 구성되어 있다. 
객실 내에 손쉽게 이용할 수 있는 세탁실과 취사가 가능한 취사도구/ 욕조가 있는 화장실 등 부대 시설이 잘 마련되어 있어 해수욕을 즐긴 뒤에 편하고 쾌적하게 휴식을 취할 수 있다. 창밖의 뷰를 보며 차를 마실 수 있는 티테이블도 발코니에 갖춰져 있다.  필요한 물품이나 문의는 카운터에 요청하면 된다.
모텔 입구에는 테라스가 조성되어 간단한 음료나 음식을 섭취하며 이야기를 나눌 수 있고 모텔 바로 앞에 주차장이 구비되어 있어 주차하기에 편하다.
인근에 낙산해수욕장/ 낙산사/ 의상대/ 오색약수터/ 생태박물관 등이 있어 함께 관광하기에 좋다.",지상 3층,nan,22실,nan,주차 가능,가능,14:00,익일 12:00,033-671-6336,"<a href=""http://www.familymotel.co.kr"" target=""_blank"" title=""새창 : 낙산 패밀리파크 홈페이지로 이동"">http://www.familymotel.co.kr</a>",가능(사전문의),nan,없음,"객실명:콘도식원룸
객실크기:12평
객실수:0
기준인원:2최대인원:4
※ 객실요금 : 전화문의
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:객실명:콘도식원룸(온돌)
객실크기:13평
객실수:0
기준인원:4최대인원:6
※ 객실요금 : 전화문의
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:객실명:콘도식투룸(온돌)
객실크기:17평
객실수:0
기준인원:8최대인원:10
※ 객실요금 : 전화문의
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:",nan
바닷가모텔,061-535-5757,전라남도 해남군 송지면 땅끝해안로 1354-12,해남 송지면에 위치한 바닷가모텔은 내부 인테리어/ 전자제품(공기청정기/완전평면 TV/에어컨)/ 스팀 사우나를 갖추고 있다. 식당식 주방이 설치되어 있어서 객실 이용객들의 간단한 콘도식 취사 이용이 가능하며 바다를 바라보며 테이블에서 휴식할 수 있는 발코니가 모든 객실에 설치되어 있어 여행하면서 편안히 쉬어 갈 수 있는 곳이다.,4층,nan,15실,침대방/ 가족방(온돌형/트윈형),nan,불가,15:00,11:00,061-535-5757,nan,nan,nan,없음,"객실명:침대방
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:40000(성수기: 0)
비수기주말최소:50000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:가족방(온돌형)
객실크기:0평
객실수:0
기준인원:4최대인원:4
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:50000(성수기: 0)
비수기주말최소:60000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:가족방(트윈형)
객실크기:0평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 0)
비수기주말최소:70000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
",nan
퀸크루즈 리조텔 콘도,055-635-7611,경상남도 거제시 동부면 거제대로 975,"거제도의 명소/ 학동 몽돌해변에 위치한 퀸크루즈 리조텔은 건물의 외형을 바다를 향해 달리는 배의 형상으로 건축하였다. 학동 몽돌해변과 이웃해 있는  퀸크루즈 리조텔은  정면으로는 학동 몽돌해변을 뒤로는 노자산을 배경으로 자리하여 탁월한 전망을 자랑하고 있으며 깨끗한 시설과 건축미학의 아름다움을 간직한 리조텔이다.
외도/ 거제도 여행에 있어  전국적인 명소 학동 몽돌해변/ 노자산 자연 휴양림/ 갯바위 섬에서의 낚시/ MBC 드라마 ‘로망스’/ ‘물의 나라’/ ‘회전목마’/ SK주유소 CF의 촬영 장소였던 신선대에 인접하고 있다.",4층,nan,30실,원룸형(침대/온돌),가능,가능,15:00,12:00,055-635-7611,nan,nan,바비큐장,없음,"객실명:2층 바다향/노자산방향
객실크기:6평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:50000(성수기: 0)
비수기주말최소:60000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:3층 바다향/노자산방향
객실크기:15평
객실수:0
기준인원:6최대인원:6
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:5층 전객실
객실크기:10평
객실수:0
기준인원:4최대인원:4
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 12월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:60000(성수기: 0)
비수기주말최소:80000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
