명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장,공용 샤워실,상세정보,환불규정
웰리힐리파크,nan,강원특별자치도 횡성군 둔내면 고원로 451,"강원도 횡성 무공해 청정 지대인 술이봉 일대 486만㎡부지에 조성된 웰리힐리파크는 사계절 각각의 특색있는 아름다움과 수려한 자연 속에서 차원 높은 휴식의 안락함을 즐길 수 있는 도시 근교형 사계절 종합 휴양지이다.
인근에는 청태산자연휴양림/ 숲체원/ 치악산국립공원 등 천혜의 자연환경이 인접해 있으며 3개 타입의 유스호스텔과 16개 타입의 콘도미디엄 등 숙박시설이 있다.",지상 3층/지하 1층,172명,762실,스탠다드형/ 패밀리형/ 스위트형/ 럭셔리형/ 하우스형/ 로얄스위트형,주차가능,가능,15:00,익일 11:00,1544-8833,nan,nan,푸드코트(더진국/ 부산어묵)/ 쌍디족발/ 치킨리조트/ 스노우무무/ 마마피자/ 로메레안(패밀리레스토랑)/ 자연차림(한식당) 등,없음,"객실명:스탠다드 A형
객실크기:13평
객실수:0
기준인원:3최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:250000(성수기: 250000)
비수기주말최소:250000(성수기: 250000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:스위트 B형
객실크기:35평
객실수:0
기준인원:6최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:560000(성수기: 560000)
비수기주말최소:560000(성수기: 560000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:럭셔리 A형
객실크기:43평
객실수:0
기준인원:7최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:660000(성수기: 660000)
비수기주말최소:660000(성수기: 660000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:하우스
객실크기:60평
객실수:0
기준인원:8최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:830000(성수기: 830000)
비수기주말최소:830000(성수기: 830000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:스탠다드 B형
객실크기:17평
객실수:0
기준인원:3최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:320000(성수기: 320000)
비수기주말최소:320000(성수기: 320000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:로얄스위트
객실크기:82평
객실수:0
기준인원:6최대인원:0
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2024년 06에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:1800000(성수기: 1800000)
비수기주말최소:1800000(성수기: 1800000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:패밀리형
객실크기:26평
객실수:0
기준인원:5최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:450000(성수기: 450000)
비수기주말최소:450000(성수기: 450000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:럭셔리 B형
객실크기:46평
객실수:0
기준인원:7최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:700000(성수기: 700000)
비수기주말최소:700000(성수기: 700000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:가든하우스
객실크기:100평
객실수:0
기준인원:16최대인원:0
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 06에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:스위트 A형
객실크기:35평
객실수:0
기준인원:6최대인원:0
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:530000(성수기: 530000)
비수기주말최소:530000(성수기: 530000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",nan
코레스코치악산콘도미니엄,033-342-7880,강원특별자치도 횡성군 우천면 전재로 254,코레스코치악산콘도미니엄은 신비한 전설이 깃든 치악산 국립공원이 10분 거리에 있고 고찰 구룡사와 900m의 계곡이 4계절 아름답다. 또한 근거리에 웰리힐리파크/ 용평 휘닉스파크가 있어 이용에 편리하며 서울/ 인천/ 대전/ 경기/ 충청/ 강원권 지역에서 거리상 매우 적절한 위치에 자리 잡고 있다.,17/221㎡/ 지하 1층 ~ 지상 11층,1/500명,162실,A/B 타입,가능,가능,15:00,익일 11:00,033-342-7880,"<a href=""http://www.korescochiak.com"" target=""_blank"" title=""새창 : 코레스코치악산콘도미니엄 홈페이지로 이동"">http://www.korescochiak.com</a>",nan,한식당/ 바비큐장,없음,"객실명:A타입
객실크기:26평
객실수:0
기준인원:5최대인원:0
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:객실명:B타입
객실크기:39평
객실수:0
기준인원:6최대인원:0
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:",nan
호텔 느낌,033-635-2580,강원특별자치도 속초시 온천로 313,속초시 교동에 위치한 호텔느낌 모텔은 속초시내에 자리 잡고 있어 시내의 각종 편의시설을 손쉽게 이용할 수 있다. 도보로 청초호 호수공원을 이용할 수 있으며 척산온천/ 설악산 국립공원/ 속초해수욕장 등 속초의 관광명소에 대한 접근성도 좋다.,지상 6층/지하 1층,153명,43실,스탠다드/ 게이밍룸/ 트윈/ 디럭스/ 패밀리스위트,주차 가능(35대),가능,15:00,14:00,033-635-2580,nan,nan,nan,없음,"객실명:스탠다드 온돌
객실크기:0평
객실수:0
기준인원:3최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:트윈
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:디럭스 (TV / 넷플릭스)
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:게이밍 커플PC룸
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:패밀리 스위트
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:디럭스 (PC)
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:게이밍룸
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
호텔 휘닉스,033-343-1555,강원특별자치도 횡성군 우천면 서동로 116,"호텔휘닉스는 영동고속도로 새말휴게소와 치악산국립공원 구룡사 입구의 중간지점에 위치해 있다. 횡성과 평창등 관광지를 찾는 분들/ 겨울철 성우리조트와 보광휘닉스파크 등 스키장을 찾으시는 분들에게 저렴한 가격에 편안한 휴식처가 되고있다.
2001년 웰컴투 강원추진협의회의 우수업체로 선정된 모범업소로써 40여개의 객실을 운영하고 있으며 보다 편안하고 깨끗한 시설을 갖추고 있다.",nan,82명,41실,일반실(침대/온돌),가능,불가,14:00,익일12:00,033-343-1555,nan,nan,nan,없음,"객실명:일반실(침대/온돌)
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
관광펜션 시실리(평창시실리펜션),010-4364-2655,강원특별자치도 평창군 진부면 탑동길 195-8,청정지역에 위치한 깨끗하고 펜션 내 송어장이있는 아름다운 펜션이다.,1,20명,4,nan,주차 가능(9대),nan,15:00,11:00,전화/ 홈페이지,nan,가능,nan,없음,nan,nan
양구콩세알민박(양구콩세알펜션),010-5473-5580,강원특별자치도 양구군 양구읍 양록길23번길 5-5,양구에 위치한 민박이다.,2층,70명,10,nan,주차 가능(10대),nan,때에 따라 다름,12시,전화,nan,불가능,nan,없음,nan,nan
12월의왈츠펜션,nan,강원특별자치도 평창군 대관령면 차항길 162-34(차항리),12월의왈츠펜션은 은빛 설원과 녹색의 초원과 산림이 어우러진 해발 700m의 용평에 위치하고 있다.<dr> 베란다 창을 열면 계곡소리를 들을 수 있다.<dr> 격조 높은 실내디자인과 비품들/ 그리고 유럽풍의 가구들로 꾸몄다.,nan,nan,6실,nan,nan,nan,nan,nan,010-2335-7340,nan,nan,nan,없음,nan,nan
아웃도어패밀리,010-5566-2659,강원특별자치도 인제군 인제읍 내린천로 6215,"인제읍에서 불과 6km 거리에 있는 아웃도어패밀리는 맑고 깨끗한 내린천과 무성한 숲으로 가득한 능선을 한눈에 감상할 수 있는 내린천 계곡의 강변에 자리하고 있다. 무엇보다 아웃도어패밀리가 다른 펜션과 차이가 나는 부분이 바로 실내에서도 은은한 목향(木香)을 즐길 수 있게 내벽도 모두 캐나다에서 수입한 목재로 만들었다는 점이다.
객실마다 TV와 냉장고/ 인덕션렌지는 물론 콘도에서처럼 조리와 식사를 할 수 있도록 주방기구 일체가 구비되어있고 욕실에는 샤워커튼을 설치하여 여러 명이 함게 사용할 수 있도록 하였다.",2층,nan,7실,4인실(3실)/ 6인실(4실),가능,가능,14:00,익일 11:00,010-5566-2659,"<a href=""http://www.outdoorfamily.co.kr"" target=""_blank"" title=""새창 : 아웃도어패밀리 홈페이지로 이동"">http://www.outdoorfamily.co.kr</a>",nan,nan,있음,"객실명:커플룸
객실크기:7평
객실수:0
기준인원:2최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 90000)
비수기주말최소:80000(성수기: 90000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:객실명:가족룸 
객실크기:11평
객실수:0
기준인원:6최대인원:8
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:120000(성수기: 130000)
비수기주말최소:120000(성수기: 130000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:객실명:멀티룸
객실크기:11평
객실수:0
기준인원:6최대인원:10
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:160000(성수기: 200000)
비수기주말최소:160000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:",nan
산골나그네 펜션,033-481-3975,강원특별자치도 양구군 방산면 남밭길150번길 69,"'두타연'과 '백두산신병교육대' 인근에 위치한 힐링펜션 산골나그네는 70년대 화전민 정리 사업 이후 사람이 살지 않아 청정한 자연이 잘 보존된 송서울 맑은 계곡에 자리 잡은 펜션으로/ 황토온돌방과 독립형 별장식 목조주택으로 이루어진 깨끗하고 편안한 곳이다.
또한 옆으로는 수정처럼 맑은 계곡이 굽이굽이 폭포와 소를 이루고 있어/ 주위를 감싸고 있는 아름답고 청정한 자연과 더불어 사철 휴식공간을 만들어주고 있는 곳이다.",nan,nan,4실,청풍헌/ 자한당/ 휴휴당,주차 가능,가능,14:00,12:00 비수기<br />11:00 성수기,033-481-3975,"<a href=""http://www.chogagip.co.kr"" target=""_blank"" title=""새창 : 산골나그네 펜션 홈페이지로 이동"">http://www.chogagip.co.kr</a>",nan,식당/ 바비큐장,없음,"객실명:자한당 1호 / 2호
객실크기:8평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2023년 03월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 120000)
비수기주말최소:80000(성수기: 120000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:휴휴당
객실크기:6평
객실수:0
기준인원:2최대인원:3
※ 위 정보는 2023년 03월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 110000)
비수기주말최소:70000(성수기: 110000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:기와방
객실크기:0평
객실수:0
기준인원:0최대인원:0
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:90000(성수기: 150000)
비수기주말최소:110000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:청풍헌
객실크기:32평
객실수:0
기준인원:4최대인원:8
※ 위 정보는 2023년 03월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:150000(성수기: 250000)
비수기주말최소:180000(성수기: 250000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
",nan
연어의 고향 펜션,033-672-6809,강원특별자치도 양양군 양양읍 동해신묘길 8-3,"강원도 낙산해수욕장 조산리 마을 내에 위치한 유러피안 스타일 펜션 연어의 고향은 도보거리에 낙산 바닷가와 일출 장관으로 유명한 낙산사 연어가 희귀하는 그린벨트 남대천이 있으며 설악산/ 대포항/ 하조대/ 척산온천/ 오색 약수터/ 설악워터피아/ 대조영 촬영장/ 해양 박물관/ 테디베어팜/ 노란 잠수함 등 다채로운 여행지가 가까이 있어 가족 체험여행이나 연인들의 추억여행지로 좋다.
서울에서 3시간거리/ 버스터미널이 가깝고/ 해안도로인 7번 국도를 끼고 있기에 대관령 양떼목장부터 바다와 설악산까지 알찬 강원도 여행 계획을 세울 수 있다. 나무 정원 바비큐 가든/ 실내 바비큐 시설과 아늑함 쉼터/ 하트 꽃 정원 등의 시설과 철저한 위생관리로 더욱 아름답고 평화로운 분위기에서 가족과 연인들이 바다를 벗 삼아 쉬어가기에 좋다.",본채 2층 / 별채 2층,nan,10실,nan,가능,가능,15:00,익일 11:00,033-672-6809,"<a href=""http://www.home4salmon.com"" target=""_blank"" title=""새창 : 연어의 고향 펜션 홈페이지로 이동"">http://www.home4salmon.com</a>",nan,nan,없음,"객실명:[본채동]마로니에/레몬/머루
객실크기:11평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:85000(성수기: 150000)
비수기주말최소:85000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:[별채동]밤나무
객실크기:13평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:95000(성수기: 160000)
비수기주말최소:95000(성수기: 160000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[본채동]올리브
객실크기:23평
객실수:0
기준인원:3최대인원:4
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:190000(성수기: 290000)
비수기주말최소:190000(성수기: 290000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[본채동]꽃사과
객실크기:21평
객실수:0
기준인원:4최대인원:5
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:190000(성수기: 290000)
비수기주말최소:190000(성수기: 290000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:[본채동]보리수
객실크기:16평
객실수:0
기준인원:3최대인원:4
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:130000(성수기: 290000)
비수기주말최소:130000(성수기: 290000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[별채동]소나무
객실크기:20평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[별채동]피칸
객실크기:14평
객실수:0
기준인원:3최대인원:3
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:110000(성수기: 180000)
비수기주말최소:110000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
