명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장,공용 샤워실,상세정보,환불규정
양평밸리,031-774-3000<br />031-773-4848,경기도 양평군 양평읍 삼산길 130-13,경기 양평의 용문산 한자락에 위치한 양평밸리 펜션은 넓은 숲 속에 펜션을 비롯하여 운동장/ 강당/ 세마나실 등의 다양한 부대시설을 갖추고 있는 대규모 펜션 단지이다. 객실은 2인 커플실부터 가족실/ 단체실까지 크기별로 준비되어 있으며 원룸형 객실과 거실과 주방/ 침실로 나누어진 다중룸형 등 그 크기와 종류가 다양하게 마련되어 있다. 객실에서는 기본적으로 취사가 가능하고 갖가지 편의용품과 집기가 잘 갖춰져 있어 편리하게 이용할 수 있다. 부대시설로는 소· 중· 대강당과 세미나하우스/ 노래방/ 운동장 등이 있어 워크샵/ 세미나/ 기업 연수 및 각종 단체모임의 장소로 좋다. 또 여름에는 천연 계곡물로 만들어진 수영장도 운영한다. 식음료장으로는 넓은 식당이 있으며 이곳에서 조식을 포함하여 중식/석식도 가능하다. 양평밸리 옆으로 용문산자연휴양림이 위치해 있으며 백운봉까지 이어지는 등산로가 있어 산행도 가능하다. <br>,nan,nan,5,커플 하우스/ 패밀리 하우스/ 그랜드 하우스/ 스쿨앤비즈니스 하우스,주차가능,가능,15:00,12:00,031-774-3000,"<a href=""http://ypvalley.cafe24.com"" target=""_blank"" title=""새창 : 양평밸리 홈페이지로 이동"">http://ypvalley.cafe24.com""</a>",가능(사전문의/양평역&양평터미널한함),양평밸리 키친,없음,"객실명:[패밀리 하우스] 별 1~3/ 물소리 2
객실크기:20평
객실수:0
기준인원:6최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:130000(성수기: 190000)
비수기주말최소:190000(성수기: 230000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[커플 하우스] 하늘 1/2/3
객실크기:20평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:110000(성수기: 130000)
비수기주말최소:130000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:[패밀리 하우스] 통나무하우스
객실크기:15평
객실수:0
기준인원:4최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:130000(성수기: 190000)
비수기주말최소:190000(성수기: 220000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:[패밀리 하우스] 황토/아담
객실크기:20평
객실수:0
기준인원:6최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:130000(성수기: 190000)
비수기주말최소:190000(성수기: 250000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[패밀리 하우스]  청솔
객실크기:30평
객실수:0
기준인원:8최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:190000(성수기: 240000)
비수기주말최소:240000(성수기: 290000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[그랜드 하우스]  물소리1
객실크기:30평
객실수:0
기준인원:10최대인원:0
※ 위 정보는 2020년 04월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:190000(성수기: 240000)
비수기주말최소:240000(성수기: 290000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[그랜드 하우스]  바위
객실크기:35평
객실수:0
기준인원:10최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:270000(성수기: 270000)
비수기주말최소:270000(성수기: 330000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[그랜드 하우스]  수채화
객실크기:40평
객실수:0
기준인원:12최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:330000(성수기: 390000)
비수기주말최소:390000(성수기: 450000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[그랜드 하우스]  이브
객실크기:45평
객실수:0
기준인원:14최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:300000(성수기: 380000)
비수기주말최소:380000(성수기: 420000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[스쿨앤비즈니스 하우스]  세미나하우스
객실크기:65평
객실수:0
기준인원:24최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:390000(성수기: 490000)
비수기주말최소:490000(성수기: 550000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:[스쿨앤비즈니스 하우스] 풍경1/2
객실크기:30평
객실수:0
기준인원:24최대인원:0
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:490000(성수기: 590000)
비수기주말최소:590000(성수기: 650000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",nan
나로비치호텔 [한국관광 품질인증/Korea Quality],061-835-9001,전라남도 고흥군 봉래면 나로도항길 94-10,나로비치호텔은 고흥 외나로도 중심에 위치하여/ 호텔에서 나로항 일대를 조망할 수 있다. 가족여행에 적합한 한실부터 스위트룸까지 다양한 객실이 준비되어 있고/ 전 객실에는 비데가 설치되어 있다. 나로도연안여객선터미널이 바로 앞에 있어 원시림/ 쑥섬/ 거문도/ 백도/ 손죽도행 여객선을 탈 수 있다. 차량을 이용하면 나로우주해변은 3분/ 나로우주센터 우주과학관는 10분/ 소록도․거금대교는 약 1시간이 걸린다.,지상 1층~지상 5층(1402m²),160,40,양실,가능,불가,15:00,12:00,nan,http://www.narobeachhotel.com/sub4/sub4_1.htm,불가,있음,없음,"객실명:한실
객실크기:11평
객실수:0
기준인원:2최대인원:4
null
비수기주중최소:50000(성수기: 100000)
비수기주말최소:60000(성수기: 120000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
객실명:패밀리 트윈
객실크기:22평
객실수:0
기준인원:3최대인원:3
null
비수기주중최소:80000(성수기: 130000)
비수기주말최소:100000(성수기: 130000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:스위트
객실크기:22평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:100000(성수기: 140000)
비수기주말최소:110000(성수기: 160000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:더블
객실크기:11평
객실수:0
기준인원:2최대인원:2
null
비수기주중최소:50000(성수기: 100000)
비수기주말최소:60000(성수기: 120000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:특온돌
객실크기:22평
객실수:0
기준인원:3최대인원:3
null
비수기주중최소:80000(성수기: 130000)
비수기주말최소:100000(성수기: 130000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
",숙박 당일 취소 시 환불 불가/ 숙박 2일 전까지 취소 시 30% 환불/ 숙박 3일 전까지 취소 시 50% 환불/ 숙박 7일 전까지 취소 시 60% 환불/ 이외 취소 시 90% 환불
Nu Motel(엔유모텔),02-416-4431,서울특별시 송파구 올림픽로10길 8,서울 송파구 잠실에 위치한 Nu Motel은 다양한 타입의 객실이 있다.,nan,nan,50실,nan,주차 가능,불가,19:00,12:00,02-416-4431,nan,nan,nan,없음,"객실명:VIP
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2020년 10월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 60000)
비수기주말최소:85000(성수기: 85000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:특실
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2020년 10월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:55000(성수기: 55000)
비수기주말최소:80000(성수기: 80000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:준특실
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2020년 10월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:50000(성수기: 50000)
비수기주말최소:75000(성수기: 75000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:일반
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2020년 10월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:45000(성수기: 45000)
비수기주말최소:70000(성수기: 70000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:",nan
르네상스호텔[한국관광 품질인증/Korea Quality],051-312-8580~1,부산광역시 사상구 광장로 60(괘법동),르네상스 호텔은 서부산 중심지역이자 물류 유통단지인 사상지역 최고 중심에 위치한다. 비즈니스 고객과 여행객을 위해 객실을 테마식으로 각기 구성하였고/ 레스토랑/ 웨딩홀/ 유흥주점 등 다양한 부대시설과 70대의 동시주차시설을 갖추고 있다. 홈플러스/ 르네시떼/ 이마트/ 롯데시네마 등 편의시설이 인근에 있고/ 부산서부버스터미널과 사상역이 도보 1분 거리에 있다. 김해공항과 시내/ 골프장(용원.가야CC)과도 가깝다.,약 6991㎡/ 지하 2층~지상 10층,109,54,한실/양실,가능,불가,14:00,11:00,nan,http://www.rshotel.co.kr,불가,있음,없음,"객실명:비즈니스 더블
객실크기:7평
객실수:0
기준인원:2최대인원:2
null
비수기주중최소:75000(성수기: 0)
비수기주말최소:75000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:비즈니스 온돌
객실크기:10평
객실수:0
기준인원:2최대인원:4
null
비수기주중최소:75000(성수기: 0)
비수기주말최소:75000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:비지니스트윈
객실크기:9평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:85000(성수기: 0)
비수기주말최소:85000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:스위트 온돌
객실크기:13평
객실수:0
기준인원:2최대인원:6
null
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:디럭스 스위트 트윈
객실크기:10평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
","""숙박일 전날까지 취소 시 숙박료 100% 환불/
숙박일 오후 이전 취소 시 숙박료 50% 환불/ 숙박일 오후 이후 취소 시 숙박료 환불 불가"""
지유,010-6633-8060,서울특별시 종로구 종로 347(숭인동/롯데캐슬 천지인APT)인동 2302호,#본 업소는 외국인관광 도시민박업으로 아파트23층으로 서울의 중심쪽 조망이 좋은편이다.,43평/ 23층 (1개층),8명,4,nan,주차 가능(10대),nan,15:00,11:00,전화번호,nan,가능,있음,있음,nan,nan
AJ하우스(AJ House),010-2171-0390,부산광역시 영도구 태종로 40(대교동1가/브릿지타워) 1001호,#본 업소는 외국인관광 도시민박업으로 외국인만 이용이 가능하며 내국인은 이용할 수 없습니다.<br><br>외국인 전용 민박이다.,49평,7명,3,nan,불가능,nan,14:00,11:00,전화예약,nan,불가능,nan,없음,nan,nan
결성향교,010-6512-6112,충청남도 홍성군 결성면 홍남서로707번길 21-8,향교는 조선시대 관학교육을 위한 시설이며/ 결성향교는 600년의 전통을 간직한 전통한옥이다.,명륜당 28평/ 동재 5평/ 서재 8평,25명,3,nan,불가능,nan,14:00,11:00,전화예약,nan,nan,nan,없음,nan,nan
석정댁[한국관광 품질인증/Korea Quality],010-3207-4022,경상북도 고령군 쌍림면 개실2길 6(쌍림면),석정댁은 조선전기 문신 김종직 선생 후손들의 집성촌인 개실마을에 위치한 독채 한옥 민박집이다. 방 2칸/ 거실 1칸/ 주방 1칸으로 이루어져 있어 가족이나 단체여행객이 묵기 좋고/ 각 방에 에어컨이 딸려 있어 쾌적하게 이용할 수 있다. 객실 내 취사나 야외 바비큐도 가능하다. 마을에서 운영하는 농사체험/ 자연체험/ 전통예절․음식․놀이 등 다양한 체험프로그램을 즐기며 옛 시골 정취와 함께 즐거운 추억을 쌓을 수 있다.,56㎡/ 1층,10,1,한실,가능,가능,14:00,12:00,가능(054-956-4022/ 010-3207-4022),http://www.gaesil.net,불가,있음,없음,"객실명:독채
객실크기:16평
객실수:0
기준인원:8최대인원:10
null
비수기주중최소:170000(성수기: 170000)
비수기주말최소:170000(성수기: 170000)
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
",숙박 3일 전까지 취소 시 70% 환불/ 숙박 1일 전까지 취소 시 50% 환불/ 당일 취소 환불 불가
소낭구펜션[한국관광 품질인증/Korea Quality],010-6776-6054,경상남도 거제시 일운면 마전1길 83(일운면),소낭구펜션은 거제시 지세포항 풍광을 한눈에 내려다볼 수 있는 높은 곳에 자리한다. 통나무와 황토로 전통 짜맞춤 방식을 이용해 2층으로 지었다. 소나무와 자연석으로 조성한 계단식 정원에는 꽃과 나무/ 야생초로 가득하고/ 전통 원두막과 평상 등 휴식공간도 마련되어 있다. 객실마다 현대식 주방시설과 화장실이 갖춰져있고/ 마당에는 전통구들공법으로 만든 맥반석 황토구이 시설이 있어 고기/ 감자/ 전/ 등을 익혀먹을 수 있다.,대지 면적 19/834㎡,40,7,한실,가능,가능,15:00,11:00,가능(010-6776-6054),http://www.sonanggoo.com/?ty=1&ct=6,불가,있음,없음,"객실명:금송정
객실크기:30평
객실수:0
기준인원:6최대인원:8
null
비수기주중최소:260000(성수기: 340000)
비수기주말최소:290000(성수기: 340000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:육송정/ 해송정
객실크기:13평
객실수:0
기준인원:2최대인원:4
null
비수기주중최소:110000(성수기: 180000)
비수기주말최소:130000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:토양정
객실크기:16평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:150000(성수기: 240000)
비수기주말최소:180000(성수기: 240000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:풍양정
객실크기:19평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:180000(성수기: 270000)
비수기주말최소:210000(성수기: 270000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:석양정
객실크기:16평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:150000(성수기: 240000)
비수기주말최소:180000(성수기: 240000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:운양정
객실크기:19평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:180000(성수기: 270000)
비수기주말최소:210000(성수기: 270000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
",숙박 8일 전까지 100%환불/ 숙박 7일 전까지 90%환불/ 숙박 6일 전까지 80%환불/ 숙박 5일 전까지 70%환불/ 숙박 4일 전까지 60%환불/ 숙박 3일 전까지 50%환불/ 숙박 2일 전까지 30%환불/ 숙박 1일 전까지 20%환불/ 당일 취소 시 환불 불가
신라부티크호텔 프리미엄[한국관광 품질인증/Korea Quality],054-745-3500/ 054-624-3366,경상북도 경주시 강변로 200 황실예식장,신라부티크호텔 프리미엄은 어린이 전용 객실을 갖춘 가족특화형 호텔이다. 키즈룸에는 낙상사고를 방지하도록 저상형 침대를 비치해놓았다. 투숙객에게 스크린골프 할인권을 제공하고/ 키즈룸 이용시에는 키즈파크 어린이 무료 이용권도 제공한다. 터미널과 도보 5분 거리/ 신경주역에서 버스 20분 거리/ 경주시 대부분 관광지를 자차로 10분 내에 갈 수 있는 점이 이곳만의 자랑이다.,5층 (지하1층/ 지상4층),150,31,양실,가능,불가,15:00,11:00,nan,http://sillaboutique.co.kr/,불가,있음,없음,"객실명:프리미엄 코너 스위트6인
객실크기:0평
객실수:0
기준인원:6최대인원:8
null
비수기주중최소:299000(성수기: 450000)
비수기주말최소:350000(성수기: 450000)
목욕시설:욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:프리미엄 코너 스위트4인
객실크기:0평
객실수:0
기준인원:4최대인원:5
null
비수기주중최소:179000(성수기: 350000)
비수기주말최소:239000(성수기: 350000)
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:프리미엄 키즈 스위트
객실크기:0평
객실수:0
기준인원:4최대인원:5
null
비수기주중최소:179000(성수기: 350000)
비수기주말최소:239000(성수기: 350000)
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:프리미엄 키즈 디럭스
객실크기:0평
객실수:0
기준인원:3최대인원:4
null
비수기주중최소:139000(성수기: 250000)
비수기주말최소:189000(성수기: 250000)
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:프리미엄 디럭스베드
객실크기:0평
객실수:0
기준인원:3최대인원:4
null
비수기주중최소:119000(성수기: 200000)
비수기주말최소:169000(성수기: 200000)
목욕시설:욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
객실명:프리미엄 트윈베드
객실크기:0평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:99000(성수기: 160000)
비수기주말최소:149000(성수기: 160000)
목욕시설:욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:프리미엄 더블베드
객실크기:0평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:99000(성수기: 160000)
비수기주말최소:149000(성수기: 160000)
목욕시설:욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",8일 전 취소 시 100% 환불/ 7~3일 전 50% 환불/ 2일 전 70% 환불
