명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장,공용 샤워실,상세정보,환불규정
태안 서초휴양소,041-673-8470~3,충청남도 태안군 남면 안면대로 571-12,"서초휴양소는 사계절 다채로운 자연 속에서 팜스테이를 지향하는 리조트 형태의 숙박시설로 2006년 5월 개원했다. 충남 태안군과 자매결연 관계인 서울 서초구가 한 폐교 부지를 매입해 47개 객실을 갖춘 지하 1층/ 지상 5층 규모의 휴양소를 건립했다. 사전예약 필수이며 매월 1일 오전 9시부터 다음 달 예약이 열린다. 1일과 2일에는 서초구민만/ 3일 자정 12시부터는 타 지역민도 예약할 수 있다. 예약하지 않은 방문객은 숙박할 수 없으며 전화예약도 받고 있으니 자세한 안내는 홈페이지를 참고하면 된다.
객실은 콘도형으로 4인실과 8인실 중 선택할 수 있으며 4인실은 온돌형이고 8인실은 온돌형과 침대가 같이 있다. 식당/ 사우나/ 노래방/ 강당 등의 시설과 바비큐장/ 체육시설/ 휴게실 등의 부대시설이 마련되어 있다.
이곳이 특별한 이유는 저렴한 이용요금에 있다. 시기에 따라 다르지만 7~8월 성수기와 주말을 제외하면 10만 원이 넘지 않는 가격에 숙박을 이용할 수 있다. 서초구민에 한해 추가 할인도 가능하다. 비수기 주말 기준 4인용 객실을 1박 예약할 경우/ 일반 이용객은 8만 원/ 서초구민은 5만 원에 숙박이 가능하다. 이밖에 경로 우대자 동반 가족/ 장애인/ 서초구 다자녀가정 등은 추가 할인도 받을 수 있다.",연면적 5/744㎡/ 지상 5층/지하 1층,nan,47개,4인실(31실)/ 8인실(16실),nan,가능,비수기 14:00 / 성수기 15:00,비수기 익일 12:00 / 성수기 익일 11:00,041-673-8470~3,"<a href=""http://www.seocho.go.kr/site/ta/index.jsp"" target=""_blank"" title=""새창 : 태안 서초휴양소 홈페이지로 이동"">http://www.seocho.go.kr/site/ta/index.jsp</a>",nan,식당 / 바베큐장,없음,"객실명:8인실
객실크기:14평
객실수:0
기준인원:8최대인원:10
※ 객실 가격 전화문의 요망
비수기주중최소:90000(성수기: 170000)
비수기주말최소:130000(성수기: 170000)
목욕시설:Y
욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:객실명:4인실
객실크기:9평
객실수:0
기준인원:4최대인원:0
※ 위 정보는 2020년 10월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 100000)
비수기주말최소:80000(성수기: 100000)
목욕시설:Y
욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:",nan
지리산통나무산장,055-973-0666,경상남도 산청군 시천면 지리산대로511번길 11-36,"경남 산청군 지리산 속에 자리 잡은 지리산통나무산장은 맑고 청정한 계곡 물소리가 끊이지 않고 주변이 숲으로 둘러싸여 조용한 통나무 펜션이다.
펜션 건물은 직접 주인이 깎고 다듬은 정통 통나무집이며/ 내부 또한 바닥과 벽/ 천장 전체가 통나무로 마감되어 친환경적이다. 객실은 2인용 객실에서부터 가족실/ 소규모 단체실 등 다양하게 마련되어 있다. 부대시설로는 바비큐장과 어린이수영장이 있으며 펜션 옆에는 계곡이 흐르고 있어 여름철 물놀이가 가능하다. 펜션에서 지리산 천왕봉이 바로 보이며 중산리계곡을 통해 천왕봉까지 오르거나 지리산 주능선을 따라 종주를 할 수 있다.",nan,nan,8실,2인실/ 3인실 4개/ 4인실/ 5인실,가능,가능,14:00,익일 11:00,055-973-0666,"<a href=""http://www.chirilog.net"" target=""_blank"" title=""새창 : 지리산통나무산장 홈페이지로 이동"">http://www.chirilog.net</a>",nan,nan,없음,"객실명:홍송실(8인실)
객실크기:20평
객실수:0
기준인원:5최대인원:6
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:200000(성수기: 0)
비수기주말최소:200000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
객실명:청송실(2인실)
객실크기:7평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
객실명:금송실(5인실)
객실크기:13평
객실수:0
기준인원:4최대인원:5
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:150000(성수기: 0)
비수기주말최소:150000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
객실명:해송실(4인실)
객실크기:7평
객실수:0
기준인원:3최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
객실명:백송실
객실크기:20평
객실수:0
기준인원:3최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
",nan
큐(Q)호텔,031-339-8881,경기도 용인시 처인구 포곡읍 전대로110번길 10-3,"경기도 용인 큐(Q)호텔은 에버랜드 정문 주차장 200M 앞에 위치하고 있으며 모텔의 편리함과 펜션의 아늑함을 동시에 느낄수 있는 퓨전호텔이다.
각각의 객실은 서로 다른 테마로 인테리어 되어있으며 최신 집기와 시설이 편리성을 더한다. 특히 전 객실에 인터넷이 연결된 PC가 설치되어 있어 웹서핑 및 최신 VOD로 영화를 감상할 수 있다. 또 룸서비스와 스낵 서비스가 제공된다.
에버랜드가 인접해 있어 테마파크 구경과 캐리비안베이를 이용하기 용이하며 지리산 리조트/ 곤지암리조트 등의 스키장과 한국민속촌/ 호암미술관이 가까운 편이다.",nan,nan,41실,일반실/ 준특실/ 특실,가능,불가,17:00,익일 12:00,031-339-8881,nan,nan,nan,없음,"객실명:더블룸
객실크기:10평
객실수:0
기준인원:2최대인원:5
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:주니어 더블룸/트윈룸
객실크기:0평
객실수:0
기준인원:2최대인원:4
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:스탠다드룸
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:패밀리 트윈룸
객실크기:8평
객실수:0
기준인원:2최대인원:6
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
정다운모텔,041-356-6220~1,충청남도 당진시 송악읍 한진포구길 55-3,방 안에서 직접 서해의 해돋이와 서해대교의 아름다운 풍경(특히 야경)을 볼 수 있다. 방이 넓고/ 시설이 깨끗하고 고급스러운 것이 특징이다.,nan,80명,40실,nan,가능,불가,16:00,익일12:00,041-356-6220~1,nan,nan,nan,없음,"객실명:일반실(온돌)
객실크기:0평
객실수:0
기준인원:2최대인원:3
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:객실명:일반실(침대)
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:",nan
이화당,0507-1406-7705,전라남도 나주시 금천면 촌곡길 66,전통방식으로 고급 천연 자연재료로 지어진 한옥이다. 동향의 따뜻한 분위기이며 넓은 마당과 구들장/ 누마루가 있다. 봄에는 배꽃이 바다처럼 펼쳐지는곳으로 배꽃길에 위치하고 있다.,60평,25명,3,nan,주차 가능(10대),nan,15:00,11:00,전화,nan,불가능,nan,없음,"객실명:이화당 한옥팬션
객실크기:0평
객실수:0
기준인원:5최대인원:20
※ 위 정보는 2024년 6월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:190000(성수기: 0)
비수기주말최소:190000(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:",nan
삼척비치모텔,033-576-0163,강원특별자치도 삼척시 테마타운길 53,삼척비치모텔은 청정해변/ 커피와 디저트의 삼척해수욕장의 중심에 위치한 오션뷰 모텔이다. 아늑하고 깨끗한 환경을 제공하며 삼척해수욕장 내에 위치해 있어 편리하게 관광할 수 있다.,5층,nan,nan,일반실/ 트윈실/ 특실,주차가능,불가,15:00,11:00,033-576-0163,nan,nan,nan,없음,"객실명:일반실
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2022년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 업체로 연락 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:트윈실
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2022년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:특실
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2022년 10월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 업체로 연락 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
",nan
팔공산온천관광호텔,053-985-8080,대구광역시 동구 팔공산로185길 11,대구 팔공산 쪽에 있는 온천관광호텔로 온천 이용객 및 휴양을 위해 찾는 이들이 많은 곳이다. 팔공산 온천은 팔공산의 정기가 숨 쉬는 비로봉 남동쪽 계곡부에서 발견된 물 맑은 신비의 온천으로 팔공산 화강암을 기반으로 지하 687.04m에서 용출되는 섭씨 28.9도의 염화나트륨 성분이 우세한 양질의 약 알칼리성 온천수를 이용할 수 있는 곳이다. 팔공산 온천호텔은 온천시설뿐만 아니라/ 각종 단체 모임 행사 및 세미나 장소로 활용이 용이하여 각종 예식 칠순잔치 등 다양한 행사를 할 수 있다.,nan,nan,36실,양실/ 한실,가능,불가,15:00,익일 11:00,053-985-8080,"<a href=""http://www.palgongspa.co.kr"" target=""_blank"" title=""새창 : 팔공산온천관광호텔 홈페이지로 이동"">http://www.palgongspa.co.kr</a>",셔틀버스 운행,커피숍/ 한식당/ 양식당,없음,"객실명:한실
객실크기:0평
객실수:0
기준인원:2최대인원:3
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 100000)
비수기주말최소:100000(성수기: 100000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:Y
객실명:양실(트윈/더블)
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 100000)
비수기주말최소:100000(성수기: 100000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:준특실
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:150000(성수기: 150000)
비수기주말최소:150000(성수기: 150000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:특실(대한실)
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:250000(성수기: 250000)
비수기주말최소:250000(성수기: 250000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:스위트룸
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:200000(성수기: 200000)
비수기주말최소:200000(성수기: 200000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
",nan
산이야기,033-441-8558,강원특별자치도 화천군 사내면 천문대길 2,화천군 사내면 광덕리 광덕계곡 해발 700m에 위치한 민박집으로 멀리 화악산이 내다보일 정도로 시야가 탁 트인 전망 좋은 곳이다. 객실은 한실과 양실로 구분되는 2인실과 객실 내 취사가 가능한 5~6인실을 갖추고 있다. 내부 편의시설로는 TV/ 냉장고/ 침구/ 욕실 등을 갖추고 있으며 공동으로 사용이 가능한 바비큐장이 마련돼 있어 맛있는 고기파티를 열 수 있다. 카페와 음식점을 함께 운영하고 있는데 식당에서는 왕갈비/ 이동갈비/ 토종 닭볶음탕과 같은 한식과 돈가스/ 함박스테이크 등의 양식을 맛볼 수 있다.,4층,nan,11실,펜션형/ 모텔형,주차가능,펜션형 객실만 가능,14:00,12:00,033-441-8558,nan,nan,식당,없음,"객실명:펜션형(301호/302호)
객실크기:0평
객실수:0
기준인원:2최대인원:6
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:객실명:모텔형 침대
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:모텔형 온돌
객실크기:0평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:펜션형(303호)
객실크기:0평
객실수:0
기준인원:8최대인원:14
※ 객실 가격 전화문의 요망

목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
물안골스머프펜션,033-441-2422,강원특별자치도 화천군 사내면 물안골길 12-64,화악산 청정계곡이 펜션 앞을 흐르고 객실 창을 열면 물소리/ 새소리/ 다람쥐들의 발비비는 소리가 들릴 정도로 자연과 함께 조화를 이루고 있는 곳이다. 총 5개 동으로 되어 있으며 스머프펜션답게 방 이름은 가가멜/ 허영이 등의 스머프 이름으로 되어 있다. 취사를 할 수 있게 주방과 취사도구도 준비되어 있다. 펜션 앞마당엔 계곡이 있어 시원한 물놀이를 즐길 수 있으며 펜션 주위로 꽃들을 심어 펜션을 더욱 아름답게 만들어 놓았다. 또한 비가 오나 눈이 오나 언제든지 바비큐를 즐길 수 있는 시설이 있다.,nan,nan,5실,12평형/ 14평형/ 17평형,가능,가능,15:00,익일 11:00,033-441-2422,"<a href=""http://www.mulangolpension.co.kr"" target=""_blank"" title=""새창 : 물안골스머프펜션 홈페이지로 이동"">http://www.mulangolpension.co.kr</a>",가능(사전예약),nan,없음,"객실명:가가멜
객실크기:17평
객실수:0
기준인원:8최대인원:10
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:180000(성수기: 250000)
비수기주말최소:250000(성수기: 300000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:익살이/투덜이
객실크기:12평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:120000(성수기: 150000)
비수기주말최소:150000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:허영이/똘똘이
객실크기:14평
객실수:0
기준인원:6최대인원:8
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:140000(성수기: 180000)
비수기주말최소:180000(성수기: 240000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
만산고을펜션(구 만산수목원펜션),033-441-3149,강원특별자치도 화천군 상서면 만산동로 898-16,"화천군 상서면 구운리 만산동 계곡을 따라 자리 잡은 조용한 숲속 휴식공간으로 펜션과 식당을 겸하고 있다. 
펜션은 모두 나무와 황토로 지어진 전통한옥으로 취사시설과 욕실/ 냉장고/ TV 등이 갖춰져 편리하다. 객실은 5~7인이 이용 가능한 규모로 독립된 형태라 타인의 방해 없이 오붓한 시간을 보낼 수 있어 좋다. 수려한 계곡을 따라 팔각정/ 등산로/ 낚시터가 있어 자연 속에서 다양한 즐거움을 만끽할 수 있다. 함께 운영 중인 식당에선 무공해 산나물과 직접 재배한 표고/ 느타리버섯 요리/ 산속에서 자란 토종 약닭 요리를 맛볼 수 있다. 겨울에는 썰매장을 운영해 가족 단위 여행객에게 인기가 높다.",nan,nan,4실,nan,주차 가능,가능,14:00,익일 12:00,033-441-3149,"<a href=""http://만산고을펜션.한국"" target=""_blank"" title=""새창: 만산고을펜션 홈페이지로 이동"">http://만산고을펜션.한국</a>",nan,nan,없음,"객실명:민들레 / 구절초
객실크기:10평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 180000)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:객실명:금강초롱 / 금낭화
객실크기:12평
객실수:0
기준인원:4최대인원:8
※ 위 정보는 2024년 06월에 수정된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 180000)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:",nan
